Recorrido,Latitud,Longitud
Ruta San Jose - Paso Ancho - Loma Linda,-84.073457,9.902208
Ruta San Jose - Paso Ancho - Loma Linda,-84.074202,9.902539
Ruta San Jose - Paso Ancho - Loma Linda,-84.074921,9.902754
Ruta San Jose - Paso Ancho - Loma Linda,-84.075553,9.90296
Ruta San Jose - Paso Ancho - Loma Linda,-84.075659,9.903007
Ruta San Jose - Paso Ancho - Loma Linda,-84.075732,9.903031
Ruta San Jose - Paso Ancho - Loma Linda,-84.075799,9.903137
Ruta San Jose - Paso Ancho - Loma Linda,-84.075799,9.903261
Ruta San Jose - Paso Ancho - Loma Linda,-84.075751,9.903577
Ruta San Jose - Paso Ancho - Loma Linda,-84.075703,9.903759
Ruta San Jose - Paso Ancho - Loma Linda,-84.075698,9.903854
Ruta San Jose - Paso Ancho - Loma Linda,-84.076007,9.903916
Ruta San Jose - Paso Ancho - Loma Linda,-84.076321,9.90394
Ruta San Jose - Paso Ancho - Loma Linda,-84.076885,9.904017
Ruta San Jose - Paso Ancho - Loma Linda,-84.077136,9.904136
Ruta San Jose - Paso Ancho - Loma Linda,-84.077604,9.904481
Ruta San Jose - Paso Ancho - Loma Linda,-84.07786,9.904643
Ruta San Jose - Paso Ancho - Loma Linda,-84.078208,9.904768
Ruta San Jose - Paso Ancho - Loma Linda,-84.078406,9.904806
Ruta San Jose - Paso Ancho - Loma Linda,-84.078584,9.904791
Ruta San Jose - Paso Ancho - Loma Linda,-84.078738,9.904763
Ruta San Jose - Paso Ancho - Loma Linda,-84.078927,9.904748
Ruta San Jose - Paso Ancho - Loma Linda,-84.078999,9.904739
Ruta San Jose - Paso Ancho - Loma Linda,-84.079057,9.904767
Ruta San Jose - Paso Ancho - Loma Linda,-84.079279,9.90514
Ruta San Jose - Paso Ancho - Loma Linda,-84.079448,9.905341
Ruta San Jose - Paso Ancho - Loma Linda,-84.079559,9.905413
Ruta San Jose - Paso Ancho - Loma Linda,-84.079935,9.905633
Ruta San Jose - Paso Ancho - Loma Linda,-84.079969,9.905762
Ruta San Jose - Paso Ancho - Loma Linda,-84.080085,9.906437
Ruta San Jose - Paso Ancho - Loma Linda,-84.080183,9.907031
Ruta San Jose - Paso Ancho - Loma Linda,-84.08023,9.907317
Ruta San Jose - Paso Ancho - Loma Linda,-84.080225,9.907466
Ruta San Jose - Paso Ancho - Loma Linda,-84.080153,9.907547
Ruta San Jose - Paso Ancho - Loma Linda,-84.079984,9.907762
Ruta San Jose - Paso Ancho - Loma Linda,-84.07982,9.907959
Ruta San Jose - Paso Ancho - Loma Linda,-84.079613,9.908179
Ruta San Jose - Paso Ancho - Loma Linda,-84.079434,9.908317
Ruta San Jose - Paso Ancho - Loma Linda,-84.078937,9.908983
Ruta San Jose - Paso Ancho - Loma Linda,-84.078884,9.909112
Ruta San Jose - Paso Ancho - Loma Linda,-84.078846,9.909303
Ruta San Jose - Paso Ancho - Loma Linda,-84.078803,9.909905
Ruta San Jose - Paso Ancho - Loma Linda,-84.078798,9.909978
Ruta San Jose - Paso Ancho - Loma Linda,-84.078812,9.910418
Ruta San Jose - Paso Ancho - Loma Linda,-84.078914,9.911164
Ruta San Jose - Paso Ancho - Loma Linda,-84.078952,9.911461
Ruta San Jose - Paso Ancho - Loma Linda,-84.078981,9.911643
Ruta San Jose - Paso Ancho - Loma Linda,-84.079015,9.911796
Ruta San Jose - Paso Ancho - Loma Linda,-84.079035,9.911954
Ruta San Jose - Paso Ancho - Loma Linda,-84.07903,9.91205
Ruta San Jose - Paso Ancho - Loma Linda,-84.078962,9.912164
Ruta San Jose - Paso Ancho - Loma Linda,-84.078943,9.912303
Ruta San Jose - Paso Ancho - Loma Linda,-84.079358,9.913394
Ruta San Jose - Paso Ancho - Loma Linda,-84.079556,9.913973
Ruta San Jose - Paso Ancho - Loma Linda,-84.079573,9.914012
Ruta San Jose - Paso Ancho - Loma Linda,-84.08001,9.915045
Ruta San Jose - Paso Ancho - Loma Linda,-84.080247,9.915868
Ruta San Jose - Paso Ancho - Loma Linda,-84.080383,9.916595
Ruta San Jose - Paso Ancho - Loma Linda,-84.080392,9.916643
Ruta San Jose - Paso Ancho - Loma Linda,-84.080469,9.917494
Ruta San Jose - Paso Ancho - Loma Linda,-84.080469,9.917834
Ruta San Jose - Paso Ancho - Loma Linda,-84.080479,9.918059
Ruta San Jose - Paso Ancho - Loma Linda,-84.080527,9.918226
Ruta San Jose - Paso Ancho - Loma Linda,-84.080604,9.918394
Ruta San Jose - Paso Ancho - Loma Linda,-84.080929,9.9189
Ruta San Jose - Paso Ancho - Loma Linda,-84.080987,9.91902
Ruta San Jose - Paso Ancho - Loma Linda,-84.081021,9.919091
Ruta San Jose - Paso Ancho - Loma Linda,-84.08106,9.919292
Ruta San Jose - Paso Ancho - Loma Linda,-84.081079,9.919651
Ruta San Jose - Paso Ancho - Loma Linda,-84.081075,9.919967
Ruta San Jose - Paso Ancho - Loma Linda,-84.081075,9.920316
Ruta San Jose - Paso Ancho - Loma Linda,-84.081041,9.920498
Ruta San Jose - Paso Ancho - Loma Linda,-84.080978,9.920775
Ruta San Jose - Paso Ancho - Loma Linda,-84.080901,9.921048
Ruta San Jose - Paso Ancho - Loma Linda,-84.080819,9.921656
Ruta San Jose - Paso Ancho - Loma Linda,-84.080848,9.921948
Ruta San Jose - Paso Ancho - Loma Linda,-84.0808,9.92202
Ruta San Jose - Paso Ancho - Loma Linda,-84.080742,9.922249
Ruta San Jose - Paso Ancho - Loma Linda,-84.080662,9.922426
